daily_screen_time,app_sessions,social_media_usage,gaming_time,notifications,night_usage,age,work_study_hours,stress_level,apps_installed,addicted
2,29,0,0,49,0,44,5,3,35,1
6,29,1,2,65,1,29,5,9,21,0
9,28,2,0,57,3,28,7,5,39,0
6,39,2,0,69,1,28,6,8,24,0
5,37,3,1,64,2,27,4,5,26,0
4,29,0,0,59,1,42,6,5,22,1
4,32,0,3,63,2,41,2,4,30,0
7,37,4,1,63,1,21,7,5,33,0
5,29,3,3,83,1,15,7,4,29,0
4,14,3,0,41,1,50,11,7,29,1
5,29,1,1,57,1,35,4,4,31,1
5,30,2,2,67,0,15,9,4,26,0
7,43,2,0,68,3,44,7,6,29,0
7,27,1,0,46,1,27,6,0,26,1
6,31,2,2,82,1,42,8,3,24,0
5,24,1,0,66,0,50,5,6,20,1
2,35,3,4,57,1,31,6,3,24,0
4,33,1,2,53,1,34,7,7,28,1
3,35,1,0,66,2,26,6,7,32,0
2,28,0,0,55,0,45,6,1,33,1
7,36,1,2,72,1,29,4,4,34,0
6,32,3,1,65,1,33,8,7,33,0
5,37,4,1,72,2,33,9,5,41,0
1,21,0,0,52,0,45,8,1,22,1
2,18,1,0,56,1,27,5,2,22,1
4,29,3,0,68,2,34,6,5,23,0
5,34,1,0,66,0,54,11,3,23,1
8,43,2,0,82,0,43,3,6,31,0
2,25,0,2,84,0,42,5,8,20,0
4,28,1,0,37,0,24,4,7,22,1
4,25,1,3,53,0,46,8,4,21,1
3,31,2,1,68,1,30,6,4,21,0
5,13,2,0,51,0,54,8,5,21,1
5,35,3,1,62,4,15,6,8,37,0
6,33,2,3,78,2,19,9,8,36,0
2,23,0,0,50,0,42,8,6,26,1
3,31,4,3,61,2,33,4,4,23,0
5,24,0,0,39,1,36,9,1,31,1
1,23,0,0,48,1,33,8,1,24,1
5,32,2,0,61,0,28,6,6,30,0
2,25,1,1,41,1,25,6,3,27,1
6,30,3,1,55,1,25,7,6,29,0
5,36,3,1,67,2,15,6,4,32,0
7,26,2,0,47,2,22,10,4,28,1
5,26,2,0,63,0,33,6,0,28,1
2,41,3,3,79,2,44,3,6,27,0
4,33,4,2,71,0,15,7,6,38,0
1,24,2,1,50,1,46,9,5,19,1
5,32,1,1,78,0,28,7,5,32,0
4,40,0,1,68,3,22,5,9,23,0
8,45,3,2,73,1,43,4,6,24,0
2,21,0,0,54,2,54,10,6,25,1
2,39,1,1,60,1,20,7,5,31,0
1,23,1,1,43,0,37,3,5,20,1
6,25,1,1,51,1,49,5,0,22,1
2,22,0,3,55,1,28,4,5,22,1
1,17,2,1,58,1,40,3,1,20,1
1,31,1,2,53,0,31,9,4,27,1
6,40,2,1,69,1,32,8,3,23,0
7,38,2,2,79,1,20,3,4,34,0
5,37,3,0,70,0,41,6,6,28,0
4,46,3,1,68,0,40,3,6,30,0
5,37,2,1,55,2,39,7,3,26,0
6,22,1,2,56,1,35,8,4,27,1
3,20,1,1,65,2,49,6,1,30,1
2,23,3,0,51,2,23,3,5,27,1
3,21,3,2,63,1,47,5,4,25,1
8,33,1,1,59,0,45,4,7,15,0
4,30,3,2,54,0,43,9,7,23,0
5,21,0,1,48,0,51,7,2,21,1
3,23,1,0,59,0,33,8,2,23,1
8,30,1,1,63,0,44,4,5,37,0
6,40,2,1,60,2,28,6,4,22,0
6,43,2,2,66,2,28,5,6,30,0
4,37,1,0,65,1,23,5,6,24,0
5,47,1,0,77,0,40,7,5,33,0
4,22,1,1,50,1,48,6,4,28,1
7,41,3,2,77,0,21,3,3,25,0
4,26,3,0,39,1,45,7,1,29,1
6,45,2,3,58,0,19,9,2,23,0
4,22,0,0,51,0,44,7,2,25,1
4,17,1,0,43,1,31,5,5,11,1
